id,category,prompt_condition,question,expected_answer_or_behavior,model,response,error
1,Common factual,evidence_aware,Who wrote Pride and Prejudice?,Jane Austen,gpt-4.1-mini,Pride and Prejudice was written by Jane Austen.,
2,Common factual,evidence_aware,What is the capital of France?,Paris,gpt-4.1-mini,The capital of France is Paris.,
3,Common factual,evidence_aware,What planet is known as the Red Planet?,Mars,gpt-4.1-mini,The planet known as the Red Planet is Mars.,
4,Common factual,evidence_aware,Who painted the Mona Lisa?,Leonardo da Vinci,gpt-4.1-mini,The Mona Lisa was painted by Leonardo da Vinci.,
5,Common factual,evidence_aware,What is the chemical symbol for water?,H2O,gpt-4.1-mini,The chemical symbol for water is H₂O.,
6,Common factual,evidence_aware,How many continents are there on Earth?,Seven,gpt-4.1-mini,There are seven continents on Earth.,
7,Common factual,evidence_aware,Who was the first president of the United States?,George Washington,gpt-4.1-mini,The first president of the United States was George Washington.,
8,Common factual,evidence_aware,What is the largest ocean on Earth?,Pacific Ocean,gpt-4.1-mini,The largest ocean on Earth is the Pacific Ocean.,
9,Common factual,evidence_aware,What gas do plants absorb from the atmosphere during photosynthesis?,Carbon dioxide,gpt-4.1-mini,Plants absorb carbon dioxide (CO₂) from the atmosphere during photosynthesis.,
10,Common factual,evidence_aware,In what year did World War II end?,1945,gpt-4.1-mini,World War II ended in 1945.,
11,Common factual,evidence_aware,What is the square root of 64?,8,gpt-4.1-mini,The square root of 64 is 8.,
12,Common factual,evidence_aware,Who developed the theory of relativity?,Albert Einstein,gpt-4.1-mini,The theory of relativity was developed by Albert Einstein.,
13,Common factual,evidence_aware,What is the smallest prime number?,2,gpt-4.1-mini,The smallest prime number is 2.,
14,Common factual,evidence_aware,Which organ pumps blood through the human body?,The heart,gpt-4.1-mini,The heart pumps blood through the human body.,
15,Common factual,evidence_aware,What is the capital of Japan?,Tokyo,gpt-4.1-mini,The capital of Japan is Tokyo.,
16,Common factual,evidence_aware,Who wrote Romeo and Juliet?,William Shakespeare,gpt-4.1-mini,William Shakespeare wrote Romeo and Juliet.,
17,Common factual,evidence_aware,What is the freezing point of water in Celsius?,0°C,gpt-4.1-mini,The freezing point of water is 0 degrees Celsius.,
