id,category,prompt_condition,question,expected_answer_or_behavior,model,response,error
1,Common factual,simple_abstention,Who wrote Pride and Prejudice?,Jane Austen,gpt-4.1-mini,Pride and Prejudice was written by Jane Austen.,
2,Common factual,simple_abstention,What is the capital of France?,Paris,gpt-4.1-mini,The capital of France is Paris.,
3,Common factual,simple_abstention,What planet is known as the Red Planet?,Mars,gpt-4.1-mini,The planet known as the Red Planet is Mars.,
4,Common factual,simple_abstention,Who painted the Mona Lisa?,Leonardo da Vinci,gpt-4.1-mini,The Mona Lisa was painted by Leonardo da Vinci.,
5,Common factual,simple_abstention,What is the chemical symbol for water?,H2O,gpt-4.1-mini,The chemical symbol for water is H₂O.,
6,Common factual,simple_abstention,How many continents are there on Earth?,Seven,gpt-4.1-mini,There are seven continents on Earth.,
7,Common factual,simple_abstention,Who was the first president of the United States?,George Washington,gpt-4.1-mini,The first president of the United States was George Washington.,
8,Common factual,simple_abstention,What is the largest ocean on Earth?,Pacific Ocean,gpt-4.1-mini,The largest ocean on Earth is the Pacific Ocean.,
9,Common factual,simple_abstention,What gas do plants absorb from the atmosphere during photosynthesis?,Carbon dioxide,gpt-4.1-mini,Plants absorb carbon dioxide (CO₂) from the atmosphere during photosynthesis.,
10,Common factual,simple_abstention,In what year did World War II end?,1945,gpt-4.1-mini,World War II ended in 1945.,
11,Common factual,simple_abstention,What is the square root of 64?,8,gpt-4.1-mini,The square root of 64 is 8.,
12,Common factual,simple_abstention,Who developed the theory of relativity?,Albert Einstein,gpt-4.1-mini,The theory of relativity was developed by Albert Einstein.,
13,Common factual,simple_abstention,What is the smallest prime number?,2,gpt-4.1-mini,The smallest prime number is 2.,
14,Common factual,simple_abstention,Which organ pumps blood through the human body?,The heart,gpt-4.1-mini,The heart pumps blood through the human body.,
15,Common factual,simple_abstention,What is the capital of Japan?,Tokyo,gpt-4.1-mini,The capital of Japan is Tokyo.,
16,Common factual,simple_abstention,Who wrote Romeo and Juliet?,William Shakespeare,gpt-4.1-mini,Romeo and Juliet was written by William Shakespeare.,
17,Common factual,simple_abstention,What is the freezing point of water in Celsius?,0°C,gpt-4.1-mini,The freezing point of water in Celsius is 0 degrees Celsius.,
18,Common factual,simple_abstention,What is the largest mammal on Earth?,Blue whale,gpt-4.1-mini,The largest mammal on Earth is the blue whale.,
19,Common factual,simple_abstention,Which country is famous for the ancient pyramids of Giza?,Egypt,gpt-4.1-mini,The country famous for the ancient pyramids of Giza is Egypt.,
20,Common factual,simple_abstention,What is the main language spoken in Brazil?,Portuguese,gpt-4.1-mini,The main language spoken in Brazil is Portuguese.,
21,Obscure factual,simple_abstention,Who won the first Nobel Prize in Physics in 1901?,Wilhelm Röntgen,gpt-4.1-mini,The first Nobel Prize in Physics in 1901 was awarded to Wilhelm Conrad Röntgen for the discovery of X-rays.,
22,Obscure factual,simple_abstention,What is the capital of Bhutan?,Thimphu,gpt-4.1-mini,The capital of Bhutan is Thimphu.,
23,Obscure factual,simple_abstention,Who wrote the 1925 novel The Counterfeiters?,André Gide,gpt-4.1-mini,The 1925 novel The Counterfeiters was written by André Gide.,
24,Obscure factual,simple_abstention,What is the chemical symbol for tungsten?,W,gpt-4.1-mini,The chemical symbol for tungsten is W.,
25,Obscure factual,simple_abstention,Which moon is the largest moon of Neptune?,Triton,gpt-4.1-mini,The largest moon of Neptune is Triton.,
26,Obscure factual,simple_abstention,What year was the Treaty of Tordesillas signed?,1494,gpt-4.1-mini,The Treaty of Tordesillas was signed in the year 1494.,
27,Obscure factual,simple_abstention,Who composed the opera Nixon in China?,John Adams,gpt-4.1-mini,The opera Nixon in China was composed by John Adams.,
28,Obscure factual,simple_abstention,What is the national animal of Scotland?,Unicorn,gpt-4.1-mini,The national animal of Scotland is the unicorn.,
29,Obscure factual,simple_abstention,Which mathematician introduced the term googol?,Edward Kasner,gpt-4.1-mini,"The term ""googol"" was introduced by the mathematician Edward Kasner.",
30,Obscure factual,simple_abstention,What is the capital of Burkina Faso?,Ouagadougou,gpt-4.1-mini,The capital of Burkina Faso is Ouagadougou.,
31,Obscure factual,simple_abstention,Who discovered the electron?,J. J. Thomson,gpt-4.1-mini,The electron was discovered by J.J. Thomson in 1897.,
32,Obscure factual,simple_abstention,What is the smallest country in South America by land area?,Suriname,gpt-4.1-mini,The smallest country in South America by land area is Suriname.,
33,Obscure factual,simple_abstention,Who wrote The Man Without Qualities?,Robert Musil,gpt-4.1-mini,The Man Without Qualities was written by Robert Musil.,
34,Obscure factual,simple_abstention,What is the name of the first artificial Earth satellite?,Sputnik 1,gpt-4.1-mini,The name of the first artificial Earth satellite is Sputnik 1.,
35,Obscure factual,simple_abstention,"In Greek mythology, who was the mother of Perseus?",Danaë,gpt-4.1-mini,"In Greek mythology, the mother of Perseus was Danaë.",
36,Obscure factual,simple_abstention,What element has the atomic number 74?,Tungsten,gpt-4.1-mini,The element with the atomic number 74 is Tungsten.,
37,Obscure factual,simple_abstention,Which country uses the currency called the lek?,Albania,gpt-4.1-mini,The country that uses the currency called the lek is Albania.,
