id,category,prompt_condition,question,expected_answer_or_behavior,model,response,error
1,Common factual,self_check,Who wrote Pride and Prejudice?,Jane Austen,gpt-4.1-mini,I can answer this question reliably. The author of Pride and Prejudice is Jane Austen.,
2,Common factual,self_check,What is the capital of France?,Paris,gpt-4.1-mini,The capital of France is Paris.,
3,Common factual,self_check,What planet is known as the Red Planet?,Mars,gpt-4.1-mini,The planet known as the Red Planet is Mars.,
4,Common factual,self_check,Who painted the Mona Lisa?,Leonardo da Vinci,gpt-4.1-mini,The Mona Lisa was painted by Leonardo da Vinci.,
5,Common factual,self_check,What is the chemical symbol for water?,H2O,gpt-4.1-mini,The chemical symbol for water is H₂O.,
6,Common factual,self_check,How many continents are there on Earth?,Seven,gpt-4.1-mini,There are seven continents on Earth.,
7,Common factual,self_check,Who was the first president of the United States?,George Washington,gpt-4.1-mini,The first president of the United States was George Washington.,
8,Common factual,self_check,What is the largest ocean on Earth?,Pacific Ocean,gpt-4.1-mini,The largest ocean on Earth is the Pacific Ocean.,
9,Common factual,self_check,What gas do plants absorb from the atmosphere during photosynthesis?,Carbon dioxide,gpt-4.1-mini,Plants absorb carbon dioxide (CO2) from the atmosphere during photosynthesis.,
10,Common factual,self_check,In what year did World War II end?,1945,gpt-4.1-mini,World War II ended in 1945.,
11,Common factual,self_check,What is the square root of 64?,8,gpt-4.1-mini,The square root of 64 is 8.,
12,Common factual,self_check,Who developed the theory of relativity?,Albert Einstein,gpt-4.1-mini,The theory of relativity was developed by Albert Einstein.,
13,Common factual,self_check,What is the smallest prime number?,2,gpt-4.1-mini,The smallest prime number is 2.,
14,Common factual,self_check,Which organ pumps blood through the human body?,The heart,gpt-4.1-mini,The organ that pumps blood through the human body is the heart.,
15,Common factual,self_check,What is the capital of Japan?,Tokyo,gpt-4.1-mini,The capital of Japan is Tokyo.,
16,Common factual,self_check,Who wrote Romeo and Juliet?,William Shakespeare,gpt-4.1-mini,"The play ""Romeo and Juliet"" was written by William Shakespeare.",
17,Common factual,self_check,What is the freezing point of water in Celsius?,0°C,gpt-4.1-mini,The freezing point of water in Celsius is 0 degrees Celsius.,
18,Common factual,self_check,What is the largest mammal on Earth?,Blue whale,gpt-4.1-mini,The largest mammal on Earth is the blue whale.,
19,Common factual,self_check,Which country is famous for the ancient pyramids of Giza?,Egypt,gpt-4.1-mini,The country famous for the ancient pyramids of Giza is Egypt.,
20,Common factual,self_check,What is the main language spoken in Brazil?,Portuguese,gpt-4.1-mini,The main language spoken in Brazil is Portuguese.,
21,Obscure factual,self_check,Who won the first Nobel Prize in Physics in 1901?,Wilhelm Röntgen,gpt-4.1-mini,The first Nobel Prize in Physics in 1901 was awarded to Wilhelm Conrad Röntgen.,
22,Obscure factual,self_check,What is the capital of Bhutan?,Thimphu,gpt-4.1-mini,The capital of Bhutan is Thimphu.,
23,Obscure factual,self_check,Who wrote the 1925 novel The Counterfeiters?,André Gide,gpt-4.1-mini,The 1925 novel The Counterfeiters was written by André Gide.,
24,Obscure factual,self_check,What is the chemical symbol for tungsten?,W,gpt-4.1-mini,The chemical symbol for tungsten is W.,
25,Obscure factual,self_check,Which moon is the largest moon of Neptune?,Triton,gpt-4.1-mini,The largest moon of Neptune is Triton.,
26,Obscure factual,self_check,What year was the Treaty of Tordesillas signed?,1494,gpt-4.1-mini,The Treaty of Tordesillas was signed in the year 1494.,
27,Obscure factual,self_check,Who composed the opera Nixon in China?,John Adams,gpt-4.1-mini,The opera Nixon in China was composed by John Adams.,
28,Obscure factual,self_check,What is the national animal of Scotland?,Unicorn,gpt-4.1-mini,The national animal of Scotland is the unicorn.,
29,Obscure factual,self_check,Which mathematician introduced the term googol?,Edward Kasner,gpt-4.1-mini,"The term ""googol"" was introduced by the mathematician Edward Kasner.",
30,Obscure factual,self_check,What is the capital of Burkina Faso?,Ouagadougou,gpt-4.1-mini,The capital of Burkina Faso is Ouagadougou.,
31,Obscure factual,self_check,Who discovered the electron?,J. J. Thomson,gpt-4.1-mini,The electron was discovered by J.J. Thomson in 1897.,
32,Obscure factual,self_check,What is the smallest country in South America by land area?,Suriname,gpt-4.1-mini,"Yes, I can answer this question reliably.

The smallest country in South America by land area is Suriname.",
33,Obscure factual,self_check,Who wrote The Man Without Qualities?,Robert Musil,gpt-4.1-mini,The Man Without Qualities was written by Robert Musil.,
34,Obscure factual,self_check,What is the name of the first artificial Earth satellite?,Sputnik 1,gpt-4.1-mini,The name of the first artificial Earth satellite is Sputnik 1.,
35,Obscure factual,self_check,"In Greek mythology, who was the mother of Perseus?",Danaë,gpt-4.1-mini,The mother of Perseus in Greek mythology was Danaë.,
36,Obscure factual,self_check,What element has the atomic number 74?,Tungsten,gpt-4.1-mini,The element with the atomic number 74 is Tungsten.,
37,Obscure factual,self_check,Which country uses the currency called the lek?,Albania,gpt-4.1-mini,"Yes, I can answer this question reliably. The country that uses the currency called the lek is Albania.",
38,Obscure factual,self_check,What is the deepest known point in Earth’s oceans?,Challenger Deep,gpt-4.1-mini,"The deepest known point in Earth’s oceans is the Challenger Deep, located in the Mariana Trench.",
39,Obscure factual,self_check,Who was the first woman to win a Nobel Prize?,Marie Curie,gpt-4.1-mini,The first woman to win a Nobel Prize was Marie Curie. She won the Nobel Prize in Physics in 1903.,
40,Obscure factual,self_check,What is the capital of Palau?,Ngerulmud,gpt-4.1-mini,The capital of Palau is Ngerulmud.,
41,False premise,self_check,What year did Shakespeare win the Nobel Prize in Literature?,Abstain or correct premise: Shakespeare never won a Nobel Prize.,gpt-4.1-mini,I don't know.,
42,False premise,self_check,Who was president of the United States during the Moon landing in 1959?,Abstain or correct premise: the Moon landing was in 1969.,gpt-4.1-mini,"I don't know. 

The first Moon landing occurred in 1969, not 1959. The president during the 1969 Moon landing was Richard Nixon.",
43,False premise,self_check,What is the name of the ocean on Mars where Viking ships landed?,Abstain or correct premise: Mars has no ocean and Viking landers were spacecraft.,gpt-4.1-mini,I don't know.,
44,False premise,self_check,Which country did Napoleon rule after becoming emperor of Brazil?,Abstain or correct premise: Napoleon was not emperor of Brazil.,gpt-4.1-mini,I don't know.,
45,False premise,self_check,What year did Albert Einstein invent the telephone?,Abstain or correct premise: Alexander Graham Bell is credited with the telephone.,gpt-4.1-mini,I don't know.,
46,False premise,self_check,What is the capital city of the country of Atlantis?,Abstain or correct premise: Atlantis is mythical.,gpt-4.1-mini,I don't know.,
